Instructor,Term,Course,RcmndClass,RcmndInstr,Study Hrs/wk,Avg Grade Received
"Kenyatta, Kamau",SP23,MUS 95JC - Jazz Chamber Ensembles (A),100.0%,100.0%,2.72,A- (3.89)
"Jones, Michael David",SP23,MUS 95L - Wind Ensemble (A),100.0%,100.0%,2.67,A (4.00)
"Seshadri, Kartik",SP23,MUS 95W - World Music Ensembles (A),100.0%,100.0%,1.70,A (4.00)
"Seshadri, Kartik",SP23,MUS 95W - World Music Ensembles (B),83.3%,83.3%,1.70,A (4.00)
"Karis, Aleck",WI23,MUS 101B - Music Theory and Practice II (A),77.8%,100.0%,5.17,B (3.22)
"Song, Sang-Hoon",WI23,MUS 103B - Seminar in Composition II (A),100.0%,100.0%,3.83,N/A
"Ung, Chinary",WI23,MUS 111 - Topics/World Music Traditions (A),96.7%,96.7%,4.30,A- (3.87)
"Curtis, Charles Rector",WI23,MUS 113 - Topic/Classic&Romantc & Modern (A),80.0%,90.0%,3.70,A- (3.95)
"Diaz De Cossio, Teresa Sanchez",WI23,MUS 114 - Music of The 20th Century (A),98.5%,98.5%,2.53,A- (3.88)
"Davis, Anthony Curtis",WI23,MUS 12 - Opera (A),81.5%,80.8%,3.07,B+ (3.60)
"Schwenkler, Kevin Allen",WI23,MUS 120B - Hist Mus in Westrn Culture II (A),50.0%,55.6%,2.70,B+ (3.34)
"Dresser, Mark Stuart",WI23,MUS 127 - Discover Jazz (A),96.9%,93.8%,3.66,A- (3.71)
"Guy, Nancy",WI23,MUS 13 - Worlds of Music (A),69.0%,73.2%,3.85,B- (2.79)
"Ohnishi, Takae",WI23,MUS 130 - Chamber Music Performance (A),100.0%,91.7%,3.59,A- (3.97)
"Kenyatta, Kamau",WI23,MUS 137B - Jazz Theory and Improvisation (A),100.0%,100.0%,0.50,A (4.00)
"Burr, Anthony I",WI23,MUS 143 - Department Seminar (A),66.7%,83.3%,0.50,N/A
"Woo, Sora",WI23,MUS 15 - Popular Music (A),93.8%,90.5%,2.89,A- (3.77)
"Hankins, Sarah E.",WI23,"MUS 151 - Race, Culture & Social Change (A)",68.8%,81.3%,3.63,A- (3.75)
"Erbe, Tom",WI23,MUS 160A - Senior Proj/Computing Arts I (A),66.7%,33.3%,3.83,N/A
"Dubnov, Shlomo",WI23,MUS 160A - Senior Proj/Computing Arts I (B),100.0%,100.0%,4.50,N/A
"Roth, Paul N",WI23,MUS 17 - Hip-Hop (A),95.7%,97.0%,2.10,A- (3.79)
"Haering, Nathaniel James",WI23,MUS 172 - Computer Music II (B),75.0%,81.3%,6.88,A- (3.72)
"Britt, King James",WI23,MUS 174B - Audio&MIDI StudioTechniques II (A),100.0%,100.0%,9.17,A- (3.77)
"Lou, Michelle Siulai",WI23,MUS 176 - Music Technology Seminar (A),100.0%,100.0%,4.10,N/A
"Britt, King James",WI23,MUS 19R - Blacktronika: Afrofuturism (A),100.0%,100.0%,2.72,A- (3.94)
"Schneider, Berk Waldemar",WI23,MUS 1B - Fundamentals of Music B (A),92.3%,96.1%,3.38,A- (3.80)
"Carlson, Erik Norman",WI23,MUS 2B - Basic Musicianship (A),91.7%,100.0%,2.04,A (4.00)
"Ohnishi, Takae",WI23,MUS 2BK - Basic Keyboard (A),100.0%,100.0%,2.50,N/A
"Ohnishi, Takae",WI23,MUS 2BK - Basic Keyboard (B),66.7%,66.7%,3.83,N/A
"Waniuk, Ilana",WI23,MUS 4 - Introduction to Western Music (A),89.9%,95.7%,2.36,A- (3.88)
"Burr, Anthony I",WI23,MUS 43 - Department Seminar (A),81.0%,100.0%,0.69,N/A
"Dubnov, Shlomo",WI23,MUS 5R - Sound in Time (A),93.8%,96.9%,2.78,A- (3.84)
"Schick, Steven",WI23,MUS 9 - Symphony (A),86.7%,95.6%,2.08,B+ (3.70)
"Schick, Steven",WI23,MUS 95D - Symphonic Chorus (A),100.0%,100.0%,2.50,N/A
"Taylor, Alexander Lawther",WI23,MUS 95E - Chamber Orchestra (B),100.0%,100.0%,2.36,A (4.00)
"Anderson, Kenneth",WI23,MUS 95G - Gospel Choir (A),97.8%,97.8%,1.37,N/A
"Anderson, Kenneth",WI23,MUS 95G - Gospel Choir (B),96.3%,100.0%,1.07,N/A
"Kenyatta, Kamau",WI23,MUS 95JC - Jazz Chamber Ensembles (A),100.0%,100.0%,4.50,A (4.00)
"Jones, Michael David",WI23,MUS 95L - Wind Ensemble (A),100.0%,95.2%,2.02,A (4.00)
"Seshadri, Kartik",WI23,MUS 95W - World Music Ensembles (A),100.0%,80.0%,2.10,A- (3.88)
"Seshadri, Kartik",WI23,MUS 95W - World Music Ensembles (B),100.0%,100.0%,3.17,N/A
"Ishov, Alexander Alexandrovich",FA22,MUS 101A - Music Theory and Practice I (A),100.0%,100.0%,3.17,A (4.00)
"Terrazas Perez, Wilfrido D",FA22,MUS 107 - Critical Studies Seminar (A),100.0%,100.0%,2.90,N/A
"Yadegari, Shahrokh D",FA22,MUS 111 - Topics/World Music Traditions (A),90.5%,95.2%,3.53,A- (3.74)
"Curtis, Charles Rector",FA22,MUS 114 - Music of The 20th Century (A),69.0%,75.9%,3.74,B+ (3.62)
"Narucki, Susan M",FA22,MUS 12 - Opera (A),100.0%,100.0%,2.29,B+ (3.44)
"Cimini, Amy Marie",FA22,MUS 120A - Hist Mus in Westrn Culture I (A),100.0%,100.0%,2.50,B+ (3.69)
"Borgo, David Garcia",FA22,MUS 126R - Blues: An Oral Tradition (A),100.0%,100.0%,4.05,A- (3.75)
"Ohnishi, Takae",FA22,MUS 130 - Chamber Music Performance (A),100.0%,78.6%,3.21,A (4.00)
"Kenyatta, Kamau",FA22,MUS 137A - Jazz Theory and Improvisation (A),100.0%,100.0%,1.17,A- (3.73)
"Schwenkler, Kevin Allen",FA22,MUS 15 - Popular Music (A),89.4%,93.9%,2.20,A (4.00)
"Smyth, Tamara R.",FA22,MUS 171 - Computer Music I (A),57.1%,50.0%,5.21,B (3.19)
"Britt, King James",FA22,MUS 173 - Electronic Music Prod & Comp (B),88.9%,100.0%,6.10,A- (3.98)
"Burr, Anthony I",FA22,MUS 174A - Audio&MIDIStudioTechniques I (A),100.0%,100.0%,5.30,B+ (3.59)
"Britt, King James",FA22,MUS 19R - Blacktronika: Afrofuturism (A),92.2%,98.9%,2.68,A- (3.93)
"Schneider, Berk Waldemar",FA22,MUS 1A - Fundamentals of Music A (A),92.8%,95.9%,3.49,A- (3.80)
"Zhang, Shaoai",FA22,MUS 1A - Fundamentals of Music A (B),100.0%,98.2%,2.68,A- (3.82)
"Borgo, David Garcia",FA22,MUS 20 - Exploring the Musical Mind (A),86.7%,96.6%,2.69,A- (3.87)
"Carlson, Erik Norman",FA22,MUS 2A - Basic Musicianship (A),87.5%,100.0%,2.13,A- (3.87)
"Ohnishi, Takae",FA22,MUS 2AK - Basic Keyboard (A),100.0%,100.0%,3.30,N/A
"Liang, Lei",FA22,MUS 33A - Introduction to Composition I (A),90.0%,90.0%,4.70,N/A
"Liu, Anqi",FA22,MUS 4 - Introduction to Western Music (A),86.9%,80.3%,3.16,A- (3.85)
"Burr, Anthony I",FA22,MUS 43 - Department Seminar (A),96.2%,96.2%,0.73,N/A
"Waniuk, Ilana",FA22,MUS 5 - Sound in Time (A),100.0%,100.0%,2.26,A (4.00)
"Haering, Nathaniel James",FA22,MUS 6 - Electronic Music (A),93.3%,96.6%,3.53,A (4.00)
"Kenyatta, Kamau",FA22,MUS 8 - American Music: Jazz Cultures (A),97.1%,98.5%,2.15,B+ (3.62)
"Sussman, Diana Wald",FA22,MUS 95C - Concert Choir (B),100.0%,100.0%,2.50,A- (3.85)
"Burr, Anthony I",FA22,MUS 95D - Symphonic Chorus (A),100.0%,100.0%,2.50,N/A
"Taylor, Alexander Lawther",FA22,MUS 95E - Chamber Orchestra (A),100.0%,100.0%,2.06,A (4.00)
"Anderson, Kenneth",FA22,MUS 95G - Gospel Choir (A),100.0%,100.0%,1.72,N/A
"Anderson, Kenneth",FA22,MUS 95G - Gospel Choir (B),93.5%,96.8%,1.60,N/A
"Kenyatta, Kamau",FA22,MUS 95JC - Jazz Chamber Ensembles (A),100.0%,100.0%,2.94,A (4.00)
"Jones, Michael David",FA22,MUS 95L - Wind Ensemble (A),100.0%,100.0%,2.05,N/A
"Seshadri, Kartik",FA22,MUS 95W - World Music Ensembles (A),88.9%,88.9%,3.00,A- (3.91)
"Seshadri, Kartik",FA22,MUS 95W - World Music Ensembles (B),100.0%,100.0%,2.50,N/A
"Liu, Anqi",S222,MUS 114 - Music of The 20th Century (A),92.9%,78.6%,6.35,A- (3.84)
"Schwenkler, Kevin Allen",S222,MUS 14 - Contemporary Music (A),100.0%,100.0%,3.30,A- (3.96)
"Schulmeister, Kathryn Crandall",S222,MUS 14 - Contemporary Music (B),100.0%,100.0%,2.17,A- (3.88)
"Schneider, Berk Waldemar",S222,MUS 15 - Popular Music (A),96.2%,100.0%,5.42,A- (3.73)
"Dwyer, Rose Smucker",S222,MUS 15 - Popular Music (B),100.0%,94.7%,3.97,A- (3.73)
"Dubnov, Shlomo",S222,MUS 5 - Sound in Time (A),91.7%,91.7%,4.00,B+ (3.55)
"Haering, Nathaniel James",S222,MUS 6 - Electronic Music (A),83.3%,100.0%,3.83,A (4.00)
"Roth, Paul N",S222,MUS 8 - American Music: Jazz Cultures (A),100.0%,95.7%,3.59,A- (3.78)
"Diaz De Cossio, Teresa Sanchez",S222,MUS 80 - Special Topics in Music (A),100.0%,100.0%,2.50,A (4.00)
"Lloyd-Jones, Rebecca Louise",S222,MUS 80 - Special Topics in Music (B),100.0%,100.0%,5.50,A- (3.95)
"Schulmeister, Kathryn Crandall",S122,MUS 15 - Popular Music (B),95.0%,100.0%,5.23,A- (3.91)
"Borgo, David Garcia",S122,MUS 150GS - Jazz in Paris (A),71.4%,85.7%,4.21,A (4.00)
"Ishov, Alexander Alexandrovich",S122,MUS 1A - Fundamentals of Music A (A),100.0%,100.0%,5.99,A- (3.90)
"Schneider, Berk Waldemar",S122,MUS 4 - Introduction to Western Music (A),90.0%,96.7%,5.10,A- (3.85)
"Dubnov, Shlomo",S122,MUS 5 - Sound in Time (A),100.0%,100.0%,2.90,A- (3.97)
"Diaz De Cossio, Teresa Sanchez",S122,MUS 6 - Electronic Music (A),100.0%,100.0%,2.50,A- (3.92)
"Liu, Anqi",S122,"MUS 7 - Music, Media and Technology (A)",100.0%,100.0%,5.50,A- (3.83)
"Khorassani, Nasim",S122,MUS 80 - Special Topics in Music (A),100.0%,100.0%,2.14,N/A
"Borgo, David Garcia",S122,MUS 8GS - American Music: Jazz Cultures (A),88.9%,77.8%,2.94,A (4.00)
"Brindamour, Lydia Winsor",SP22,MUS 101C - Music Theory and Practice III (A),77.8%,88.9%,2.50,B+ (3.52)
"Steiger, Rand",SP22,MUS 103C - Seminar in Composition III (A),100.0%,100.0%,9.00,N/A
"Cimini, Amy Marie",SP22,MUS 107 - Critical Studies Seminar (B),100.0%,100.0%,3.17,N/A
"Terrazas Perez, Wilfrido D",SP22,MUS 11 - Folk Music (A),98.3%,100.0%,1.81,A- (3.91)
"Yadegari, Shahrokh D",SP22,MUS 111 - Topics/World Music Traditions (A),93.7%,98.7%,3.81,A- (3.84)
"Curtis, Charles Rector",SP22,MUS 113 - Topic/Classic&Romantc & Modern (A),100.0%,90.0%,3.30,B+ (3.68)
"Reynolds, Roger L.",SP22,MUS 114 - Music of The 20th Century (A),71.4%,73.8%,4.06,B (3.27)
"Cimini, Amy Marie",SP22,MUS 120C - Hist Mus in Westrn Culture III (A),87.5%,100.0%,2.50,A- (3.83)
"Guy, Nancy",SP22,MUS 13 - Worlds of Music (A),80.4%,87.3%,3.88,B (3.29)
"Ohnishi, Takae",SP22,MUS 130 - Chamber Music Performance (A),100.0%,89.5%,3.97,A- (3.93)
"Kenyatta, Kamau",SP22,MUS 137C - Jazz Theory and Improvisation (A),100.0%,100.0%,2.79,N/A
"Burr, Anthony I",SP22,MUS 143 - Department Seminar (A),66.7%,83.3%,0.50,N/A
"Schwenkler, Kevin Allen",SP22,MUS 15 - Popular Music (A),90.2%,93.5%,2.80,A- (3.80)
"Erbe, Tom",SP22,MUS 160B - Senior Proj/Computing Arts II (A),75.0%,75.0%,9.50,N/A
"Roth, Paul N",SP22,MUS 17 - Hip-Hop (A),97.3%,97.3%,2.66,A- (3.78)
"Erbe, Tom",SP22,MUS 172 - Computer Music II (A),91.7%,100.0%,6.67,B+ (3.38)
"Solem, Nicholas",SP22,MUS 174C - Audio&MIDI StudioTechniquesIII (A),66.7%,40.0%,4.50,A- (3.97)
"Smyth, Tamara R.",SP22,MUS 175 - Musical Psychoacoustics (A),100.0%,100.0%,1.50,B (3.09)
"Britt, King James",SP22,MUS 176 - Music Technology Seminar (A),100.0%,100.0%,6.50,N/A
"Yadegari, Shahrokh D",SP22,MUS 176 - Music Technology Seminar (B),100.0%,100.0%,5.70,N/A
"Zhang, Shaoai",SP22,MUS 1C - Fundamentals of Music C (A),90.5%,90.5%,4.31,B (3.22)
"Liu, Anqi",SP22,MUS 2C - Basic Musicianship (A),100.0%,75.0%,5.09,A- (3.80)
"Kenyatta, Kamau",SP22,MUS 2JK - Jazz Keyboard (A),100.0%,100.0%,2.50,N/A
"Lloyd-Jones, Rebecca Louise",SP22,MUS 4 - Introduction to Western Music (A),93.8%,93.8%,3.30,A- (3.77)
"Burr, Anthony I",SP22,MUS 43 - Department Seminar (A),76.5%,82.4%,0.62,N/A
"Richards, Stephanie F",SP22,MUS 5 - Sound in Time (A),78.5%,90.8%,3.00,B+ (3.60)
"Carlson, Erik Norman",SP22,MUS 95E - Chamber Orchestra (A),100.0%,100.0%,1.67,A (4.00)
"Anderson, Kenneth",SP22,MUS 95G - Gospel Choir (A),97.6%,97.6%,1.51,N/A
"Anderson, Kenneth",SP22,MUS 95G - Gospel Choir (B),96.4%,96.4%,1.43,N/A
"Kenyatta, Kamau",SP22,MUS 95JC - Jazz Chamber Ensembles (A),100.0%,100.0%,1.83,A (4.00)
"Sussman, Diana Wald",SP22,MUS 95K - Chamber Singers (A),75.0%,75.0%,2.50,N/A
"Jones, Michael David",SP22,MUS 95L - Wind Ensemble (A),100.0%,100.0%,1.83,A (4.00)
"Seshadri, Kartik",SP22,MUS 95W - World Music Ensembles (A),100.0%,90.9%,5.41,A- (3.82)
"Seshadri, Kartik",SP22,MUS 95W - World Music Ensembles (B),88.9%,77.8%,2.00,A- (3.96)
"Karis, Aleck",WI22,MUS 101B - Music Theory and Practice II (A),88.9%,100.0%,6.28,B- (2.79)
"Stephenson, Alex Edward",WI22,MUS 103B - Seminar in Composition II (A),100.0%,100.0%,5.25,N/A
"Guy, Nancy",WI22,MUS 107 - Critical Studies Seminar (A),100.0%,100.0%,4.00,N/A
"Ung, Chinary",WI22,MUS 111 - Topics/World Music Traditions (A),73.1%,80.8%,3.35,A- (3.82)
"Pasler, Jann Corinne",WI22,MUS 113 - Topic/Classic&Romantc & Modern (A),54.5%,63.6%,4.50,B- (2.78)
"Terrazas Perez, Wilfrido D",WI22,MUS 114 - Music of The 20th Century (A),100.0%,100.0%,3.18,A- (3.91)
"Davis, Anthony Curtis",WI22,MUS 12 - Opera (A),94.1%,97.0%,4.26,B+ (3.61)
"Dresser, Mark Stuart",WI22,MUS 127 - Discover Jazz (A),100.0%,94.1%,4.03,B+ (3.64)
"Leslie, Matthew",WI22,MUS 13 - Worlds of Music (A),94.7%,98.2%,2.54,A- (3.90)
"Ohnishi, Takae",WI22,MUS 130 - Chamber Music Performance (A),100.0%,100.0%,3.00,A (4.00)
"Kenyatta, Kamau",WI22,MUS 137B - Jazz Theory and Improvisation (A),100.0%,100.0%,3.83,A (4.00)
"Burr, Anthony I",WI22,MUS 143 - Department Seminar (A),75.0%,75.0%,0.50,N/A
"Schulmeister, Kathryn Crandall",WI22,MUS 15 - Popular Music (A),100.0%,100.0%,2.56,A- (3.86)
"Borgo, David Garcia",WI22,MUS 150 - Jazz & Music/African Diaspora (A),88.9%,94.1%,3.83,B+ (3.50)
"Dubnov, Shlomo",WI22,MUS 160A - Senior Proj/Computing Arts I (A),83.3%,83.3%,6.83,N/A
"Burr, Anthony I",WI22,MUS 17 - Hip-Hop (A),91.7%,95.5%,3.27,B+ (3.66)
"Smyth, Tamara R.",WI22,MUS 171 - Computer Music I (A),88.5%,88.5%,5.39,B+ (3.52)
"Britt, King James",WI22,MUS 174B - Audio&MIDI StudioTechniques II (A),100.0%,100.0%,10.28,A- (3.89)
"Erbe, Tom",WI22,MUS 177 - Music Programming (A),100.0%,100.0%,5.50,N/A
"Britt, King James",WI22,MUS 19R - Blacktronika: Afrofuturism (A),98.6%,95.9%,2.95,A- (3.78)
"Zhang, Shaoai",WI22,MUS 1B - Fundamentals of Music B (A),91.4%,94.3%,4.33,B+ (3.60)
"Borgo, David Garcia",WI22,MUS 20 - Exploring the Musical Mind (A),88.2%,100.0%,3.09,A- (3.91)
"Carlson, Erik Norman",WI22,MUS 2B - Basic Musicianship (A),90.9%,100.0%,1.41,A- (3.88)
"Ohnishi, Takae",WI22,MUS 2BK - Basic Keyboard (A),100.0%,100.0%,1.83,N/A
"Liu, Anqi",WI22,MUS 33B - Introduction to Composition II (A),100.0%,100.0%,6.90,N/A
"Brindamour, Lydia Winsor",WI22,MUS 4 - Introduction to Western Music (A),96.6%,98.9%,3.03,B+ (3.63)
"Burr, Anthony I",WI22,MUS 43 - Department Seminar (A),84.2%,89.5%,0.50,N/A
"Lloyd-Jones, Rebecca Louise",WI22,MUS 5 - Sound in Time (A),96.6%,100.0%,2.88,A- (3.83)
"Carlson, Erik Norman",WI22,MUS 95E - Chamber Orchestra (A),100.0%,100.0%,2.04,A (4.00)
"Anderson, Kenneth",WI22,MUS 95G - Gospel Choir (A),99.1%,100.0%,2.06,N/A
"Anderson, Kenneth",WI22,MUS 95G - Gospel Choir (B),98.5%,100.0%,1.75,N/A
"Kenyatta, Kamau",WI22,MUS 95JC - Jazz Chamber Ensembles (A),100.0%,100.0%,1.00,A (4.00)
"Sussman, Diana Wald",WI22,MUS 95K - Chamber Singers (A),100.0%,100.0%,1.17,N/A
"Jones, Michael David",WI22,MUS 95L - Wind Ensemble (A),100.0%,100.0%,1.13,A (4.00)
"Seshadri, Kartik",WI22,MUS 95W - World Music Ensembles (A),88.9%,88.9%,3.39,A- (3.91)
"Karis, Aleck",FA21,MUS 101A - Music Theory and Practice I (A),93.3%,100.0%,4.77,B (3.18)
"Ung, Chinary",FA21,MUS 103A - Seminar in Composition I (A),66.7%,66.7%,1.17,N/A
"Terrazas Perez, Wilfrido D",FA21,MUS 107 - Critical Studies Seminar (A),100.0%,100.0%,1.83,N/A
"Curtis, Charles Rector",FA21,MUS 114 - Music of The 20th Century (A),92.9%,90.2%,3.69,A- (3.80)
"Narucki, Susan M",FA21,MUS 12 - Opera (A),94.6%,100.0%,2.34,B+ (3.62)
"Leslie, Matthew",FA21,MUS 120A - Hist Mus in Westrn Culture I (A),94.4%,100.0%,2.28,A- (3.94)
"Borgo, David Garcia",FA21,MUS 126 - Blues: An Oral Tradition (A),99.0%,100.0%,5.25,A- (3.70)
"Davis, Anthony Curtis",FA21,MUS 127 - Discover Jazz (A),60.0%,53.3%,2.83,A- (3.82)
"Ohnishi, Takae",FA21,MUS 130 - Chamber Music Performance (A),100.0%,100.0%,5.75,N/A
"Kenyatta, Kamau",FA21,MUS 137A - Jazz Theory and Improvisation (A),93.8%,93.8%,4.25,B+ (3.66)
"Burr, Anthony I",FA21,MUS 143 - Department Seminar (A),100.0%,100.0%,0.50,N/A
"Bain, Landon Lee",FA21,MUS 15 - Popular Music (A),92.5%,98.7%,2.93,B+ (3.54)
"Puckette, Miller S.",FA21,MUS 170 - Musical Acoustics (A),100.0%,100.0%,4.03,A- (3.82)
"Britt, King James",FA21,MUS 173 - Electronic Music Prod & Comp (A),100.0%,100.0%,9.88,A- (3.99)
"Burr, Anthony I",FA21,MUS 174A - Audio&MIDIStudioTechniques I (A),100.0%,81.8%,3.41,A- (3.94)
"Britt, King James",FA21,MUS 19 - Blacktronika: Afrofuturism (A),98.3%,97.4%,2.64,A- (3.74)
"Zhang, Shaoai",FA21,MUS 1A - Fundamentals of Music A (A),95.5%,97.8%,2.37,A- (3.75)
"Stephenson, Alex Edward",FA21,MUS 1A - Fundamentals of Music A (B),100.0%,100.0%,3.03,A- (3.84)
"Richards, Stephanie F",FA21,MUS 2A - Basic Musicianship (A),96.2%,88.5%,3.50,B (3.11)
"Ohnishi, Takae",FA21,MUS 2AK - Basic Keyboard (B),100.0%,100.0%,3.83,N/A
"Ohnishi, Takae",FA21,MUS 2AK - Basic Keyboard (C),100.0%,100.0%,2.83,N/A
"Liang, Lei",FA21,MUS 33A - Introduction to Composition I (A),100.0%,100.0%,5.07,N/A
"Brindamour, Lydia Winsor",FA21,MUS 4 - Introduction to Western Music (A),97.0%,100.0%,3.51,B+ (3.58)
"Burr, Anthony I",FA21,MUS 43 - Department Seminar (A),93.5%,96.8%,0.82,N/A
"Dubnov, Shlomo",FA21,MUS 5 - Sound in Time (A),68.7%,78.8%,2.35,B+ (3.56)
"Schneider, Berk Waldemar",FA21,MUS 6 - Electronic Music (A),88.5%,96.2%,3.05,A- (3.86)
"Tiruviluamala, Nakul Venkat",FA21,"MUS 7 - Music, Media and Technology (A)",91.8%,95.9%,2.79,A (4.00)
"Kenyatta, Kamau",FA21,MUS 8 - American Music: Jazz Cultures (A),98.1%,100.0%,1.71,A- (3.88)
"Schick, Steven",FA21,MUS 9 - Symphony (A),98.2%,96.3%,1.93,A- (3.72)
"Carlson, Erik Norman",FA21,MUS 95E - Chamber Orchestra (A),93.8%,100.0%,1.13,A (4.00)
"Anderson, Kenneth",FA21,MUS 95G - Gospel Choir (A),99.0%,100.0%,1.44,N/A
"Anderson, Kenneth",FA21,MUS 95G - Gospel Choir (B),97.1%,98.5%,1.69,N/A
"Kenyatta, Kamau",FA21,MUS 95JC - Jazz Chamber Ensembles (A),100.0%,100.0%,2.75,A (4.00)
"Byers, Barbara Lee",FA21,MUS 95K - Chamber Singers (A),100.0%,83.3%,1.50,N/A
"Jones, Michael David",FA21,MUS 95L - Wind Ensemble (A),100.0%,95.2%,1.26,A (4.00)
"Seshadri, Kartik",FA21,MUS 95W - World Music Ensembles (A),82.4%,82.4%,1.68,A- (3.87)
"Vine, Anthony Dominic",S221,MUS 14 - Contemporary Music (A),100.0%,100.0%,3.50,A- (3.84)
"Brindamour, Lydia Winsor",S221,MUS 14 - Contemporary Music (B),100.0%,100.0%,3.59,A- (3.71)
"Schulmeister, Kathryn Crandall",S221,MUS 15 - Popular Music (A),100.0%,100.0%,4.94,A- (3.88)
"Schwenkler, Kevin Allen",S221,MUS 15 - Popular Music (B),83.3%,100.0%,4.17,N/A
"Borgo, David Garcia",S221,MUS 150 - Jazz & Music/African Diaspora (A),77.8%,83.3%,7.28,B+ (3.67)
"Tiruviluamala, Nakul Venkat",S221,MUS 173 - Electronic Music Prod & Comp (A),100.0%,100.0%,4.50,A (4.00)
"Greenstone, Madison Kearsley",S221,MUS 4 - Introduction to Western Music (A),100.0%,100.0%,2.90,A- (3.92)
"Mitsialis, Ioannis",S221,MUS 5 - Sound in Time (A),85.7%,100.0%,3.64,A- (3.90)
"Smith, Alexandria Renata",S221,MUS 6 - Electronic Music (A),100.0%,100.0%,5.61,A- (3.90)
"Zhou, Tiange",S221,"MUS 7 - Music, Media and Technology (A)",69.2%,76.9%,3.67,A- (3.74)
"Borgo, David Garcia",S221,MUS 8 - American Music: Jazz Cultures (A),100.0%,100.0%,7.50,N/A
"Liu, Anqi",S221,MUS 80 - Special Topics in Music (A),85.7%,100.0%,4.79,B+ (3.56)
"Lloyd-Jones, Rebecca Louise",S121,MUS 14 - Contemporary Music (A),100.0%,100.0%,3.30,A- (3.92)
"Greenstone, Madison Kearsley",S121,MUS 14 - Contemporary Music (B),100.0%,100.0%,3.17,N/A
"Dubnov, Shlomo",S121,MUS 15 - Popular Music (A),87.5%,87.5%,4.50,B+ (3.60)
"Smith, Alexandria Renata",S121,MUS 15 - Popular Music (B),92.9%,85.7%,7.21,A- (3.95)
"Vine, Anthony Dominic",S121,MUS 15 - Popular Music (C),100.0%,100.0%,3.67,A- (3.98)
"Schneider, Berk Waldemar",S121,MUS 4 - Introduction to Western Music (A),100.0%,95.0%,6.20,A- (3.72)
"Gutierrez Martinez, Andres",S121,MUS 5 - Sound in Time (A),100.0%,100.0%,6.21,A- (3.86)
"Zhou, Tiange",S121,"MUS 7 - Music, Media and Technology (A)",50.0%,75.0%,3.83,A- (3.71)
"Mitsialis, Ioannis",S121,MUS 80 - Special Topics in Music (A),100.0%,100.0%,4.50,N/A
"Tiruviluamala, Nakul Venkat",S121,MUS 80 - Special Topics in Music (B),71.4%,100.0%,5.07,A (4.00)
"Burr, Anthony I",SP21,MUS 101C - Music Theory and Practice III (A),100.0%,88.9%,4.06,B+ (3.64)
"Terrazas Perez, Wilfrido D",SP21,MUS 11 - Folk Music (A),98.8%,100.0%,2.34,A- (3.88)
"Vine, Anthony Dominic",SP21,MUS 114 - Music of The 20th Century (A),98.1%,100.0%,3.62,A- (3.91)
"Leslie, Matthew",SP21,MUS 120C - Hist Mus in Westrn Culture III (A),100.0%,100.0%,2.83,N/A
"Davis, Anthony Curtis",SP21,MUS 127 - Discover Jazz (A),64.7%,55.9%,4.21,A- (3.85)
"Guy, Nancy",SP21,MUS 13 - Worlds of Music (A),81.3%,77.4%,3.50,B+ (3.39)
"Kenyatta, Kamau",SP21,MUS 137C - Jazz Theory and Improvisation (A),100.0%,100.0%,4.28,N/A
"Da Silva, Marcos Balter Ma",SP21,MUS 14 - Contemporary Music (A),100.0%,100.0%,3.26,A- (3.79)
"Leslie, Matthew",SP21,MUS 15 - Popular Music (A),95.5%,98.9%,2.97,B+ (3.70)
"Yadegari, Shahrokh D",SP21,MUS 160B - Senior Proj/Computing Arts II (A),75.0%,75.0%,4.00,N/A
"Dubnov, Shlomo",SP21,MUS 160B - Senior Proj/Computing Arts II (B),75.0%,100.0%,10.00,N/A
"Burr, Anthony I",SP21,MUS 17 - Hip-Hop (A),94.2%,91.6%,3.06,B+ (3.61)
"Puckette, Miller S.",SP21,MUS 170 - Musical Acoustics (B),81.5%,85.2%,3.61,A- (3.70)
"Erbe, Tom",SP21,MUS 172 - Computer Music II (A),100.0%,100.0%,8.10,N/A
"Britt, King James",SP21,MUS 174B - Audio&MIDI StudioTechniques II (A),100.0%,100.0%,9.30,N/A
"Smyth, Tamara R.",SP21,MUS 175 - Musical Psychoacoustics (A),100.0%,100.0%,4.06,B+ (3.39)
"Tiruviluamala, Nakul Venkat",SP21,MUS 1C - Fundamentals of Music C (A),94.4%,88.9%,3.72,A (4.00)
"Borgo, David Garcia",SP21,MUS 20 - Exploring the Musical Mind (B),95.5%,100.0%,4.32,A- (3.74)
"Carlson, Erik Norman",SP21,MUS 2C - Basic Musicianship (A),100.0%,88.9%,3.95,A- (3.96)
"Ohnishi, Takae",SP21,MUS 2CK - Basic Keyboard (A),100.0%,100.0%,3.70,N/A
"Ohnishi, Takae",SP21,MUS 2CK - Basic Keyboard (B),100.0%,100.0%,3.83,N/A
"Kenyatta, Kamau",SP21,MUS 2JK - Jazz Keyboard (A),100.0%,100.0%,3.17,N/A
"Brindamour, Lydia Winsor",SP21,MUS 33C - Introdction to Composition III (A),100.0%,100.0%,3.17,N/A
"Gutierrez Martinez, Andres",SP21,MUS 4 - Introduction to Western Music (A),88.4%,86.0%,3.28,A- (3.79)
"Burr, Anthony I",SP21,MUS 43 - Department Seminar (A),95.5%,100.0%,0.59,N/A
"Sussman, Diana Wald",SP21,MUS 95C - Concert Choir (A),100.0%,100.0%,3.83,N/A
