Instructor,Term,Course,RcmndClass,RcmndInstr,Study Hrs/wk,Avg Grade Received
"Brydges, Stacey",SP21,CHEM 6C - General Chemistry  III (B),86.1%,86.7%,7.27,B+ (3.47)
"Stallings, Dontarie M",SP21,CHEM 6C - General Chemistry  III (C),92.3%,92.3%,5.86,B (3.07)
"Stallings, Dontarie M",SP21,CHEM 6C - General Chemistry  III (D),93.3%,90.6%,5.76,B (3.14)
"Brydges, Stacey",SP21,CHEM 6C - General Chemistry  III (E),84.2%,87.1%,6.72,B+ (3.42)
"Kubiak, Clifford Paul",SP21,CHEM 6CH - Honors General Chemistry III (A),80.6%,83.3%,6.24,A- (3.84)
"Schurmeier, Kimberly",SP21,CHEM 7L - General Chemistry Laboratory (A),64.9%,76.2%,8.76,B (3.09)
"Schurmeier, Kimberly",SP21,CHEM 7L - General Chemistry Laboratory (B),60.6%,76.8%,8.59,B (3.11)
"Bussey, Thomas J",SP21,CHEM 96 - Introductn to Teaching Science (A),100.0%,100.0%,3.17,N/A
"Brydges, Stacey",WI21,CHEM 1 - Scope of Chem and Biochem (A),87.5%,93.8%,1.00,N/A
"Pomeroy, Robert S.",WI21,CHEM 100A - Analytical Chemistry Lab (A),84.7%,83.1%,10.69,B (3.12)
"Pomeroy, Robert S.",WI21,CHEM 100B - Instrumental Chemistry Lab (A),75.0%,83.3%,9.33,B+ (3.40)
"Pomeroy, Robert S.",WI21,CHEM 100B - Instrumental Chemistry Lab (B),71.4%,100.0%,12.50,B+ (3.42)
"Young, Mark",WI21,CHEM 105A - Physical Chemistry Laboratory (A),36.4%,63.6%,10.50,B (3.29)
"Young, Mark",WI21,CHEM 105A - Physical Chemistry Laboratory (B),23.1%,46.2%,10.50,B+ (3.43)
"Hamaoka, Brent Y",WI21,CHEM 109 - Recombinant DNA Laboratory (A),94.7%,84.2%,9.76,A- (3.88)
"Hamaoka, Brent Y",WI21,CHEM 109 - Recombinant DNA Laboratory (B),100.0%,94.4%,10.94,B+ (3.68)
"Muller, Ulrich K.",WI21,CHEM 114A - Biochemical Structure&Function (A),92.1%,90.7%,6.99,B (3.14)
"Budin, Itay",WI21,CHEM 114B - Biochem Energetics&Metabolism (A),97.5%,99.1%,7.43,B (3.22)
"Joseph, Simpson",WI21,CHEM 114C - Biosynthesis of Macromolecules (A),88.5%,80.0%,7.73,B- (2.78)
"Komor, Alexis C",WI21,CHEM 115 - Genome Editing (A),100.0%,100.0%,8.50,B+ (3.59)
"Huang, Xuemei",WI21,CHEM 12 - Molecules and Reactions (A),85.7%,85.7%,4.36,B+ (3.52)
"Figueroa, Joshua",WI21,CHEM 120A - Inorganic Chemistry I (A),95.6%,95.5%,6.54,B- (2.78)
"Sailor, Michael Joseph",WI21,CHEM 120B - Inorganic Chemistry II (A),91.7%,97.2%,7.15,B+ (3.39)
"Tezcan, Faik",WI21,CHEM 125 - Bioinorganic Chemistry (A),100.0%,100.0%,4.50,B (3.23)
"Schoeneberg, Johannes",WI21,CHEM 126A - Phys Biochem: Thermodynamics (A),84.4%,89.1%,6.78,B (3.01)
"Paesani, Francesco",WI21,CHEM 126B - Phys Biochem: Quantum Mech (A),58.6%,84.7%,8.29,B- (2.97)
"Galperin, Michael",WI21,CHEM 131 - Chem Physics: Stat Thermo I (A),82.9%,90.2%,8.21,B- (2.81)
"Ternansky, Robert J.",WI21,CHEM 143B - Organic Chemistry Lab II (A),59.3%,47.5%,7.96,B+ (3.53)
"Donoghue, Daniel J.",WI21,CHEM 151 - Molecules That Changed World (A),96.8%,100.0%,3.66,A- (3.95)
"Romero, Nathan A",WI21,CHEM 155 - Synthesis of Complex Molecules (A),100.0%,100.0%,8.50,N/A
"Schmidt, Valerie A",WI21,CHEM 155 - Synthesis of Complex Molecules (A),100.0%,100.0%,8.50,N/A
"Perrin, Charles L.",WI21,CHEM 158 - Applied Spectroscopy (A),100.0%,100.0%,3.83,N/A
"Herzik, Mark Anthony",WI21,CHEM 165 - 3D Elctron Microscopy/Macromol (A),80.0%,88.9%,8.70,B+ (3.47)
"Devaraj, Neal Krishna",WI21,CHEM 168 - Drug Synthesis and Design (A),97.1%,97.1%,5.27,B (3.22)
"Thiemens, Mark H",WI21,CHEM 172 - Environmental Chemistry II (A),78.6%,92.9%,5.21,B (3.01)
"Bussey, Thomas J",WI21,CHEM 187 - Foundn of Teach&Learn Science (A),100.0%,100.0%,4.21,N/A
"Newsam, John",WI21,CHEM 194 - Special Topics in Chemistry (A),100.0%,100.0%,4.21,N/A
"Bertrand, Guy",WI21,CHEM 40A - Organic Chemistry I (A),95.7%,100.0%,6.43,B- (2.93)
"Bertrand, Guy",WI21,CHEM 40A - Organic Chemistry I (B),94.2%,98.3%,6.47,B- (2.92)
"Ternansky, Robert J.",WI21,CHEM 40B - Organic Chemistry II (A),72.3%,68.3%,8.99,B- (2.79)
"Klosterman, Jeremy K",WI21,CHEM 40B - Organic Chemistry II (B),81.6%,88.6%,8.59,B- (2.99)
"Hoeger, Carl",WI21,CHEM 40B - Organic Chemistry II (C),61.9%,65.7%,9.17,B (3.06)
"Burkart, Michael D",WI21,CHEM 40B - Organic Chemistry II (D),78.5%,94.1%,8.26,B (3.09)
"Weizman, Haim",WI21,CHEM 40BH - Honors Organic Chemistry II (A),89.8%,93.9%,8.21,B+ (3.67)
"Godula, Kamil",WI21,CHEM 40C - Organic Chemistry III (A),72.2%,85.8%,8.23,B+ (3.44)
"Weizman, Haim",WI21,CHEM 43A - Organic Chemistry Laboratory (A),37.3%,44.0%,12.56,B+ (3.48)
"Weizman, Haim",WI21,CHEM 43A - Organic Chemistry Laboratory (B),34.3%,41.6%,13.90,B+ (3.52)
"Tezcan, Faik",WI21,CHEM 6A - General Chemistry I (A),83.6%,80.4%,6.73,B- (2.94)
"Albizati, Kim F.",WI21,CHEM 6A - General Chemistry I (B),81.6%,79.7%,6.36,B- (2.87)
"Stallings, Dontarie M",WI21,CHEM 6B - General Chemistry II (A),80.8%,80.3%,7.43,C+ (2.69)
"Hoeger, Carl",WI21,CHEM 6B - General Chemistry II (B),72.8%,50.4%,7.81,B+ (3.33)
"Komor, Alexis C",WI21,CHEM 6B - General Chemistry II (C),89.7%,90.1%,6.71,B+ (3.43)
"Lam, Tin Yiu",WI21,CHEM 6B - General Chemistry II (D),85.0%,79.2%,6.52,B (3.03)
"Lam, Tin Yiu",WI21,CHEM 6B - General Chemistry II (E),88.9%,87.9%,7.03,B (3.16)
"Schurmeier, Kimberly",WI21,CHEM 6B - General Chemistry II (G),84.3%,80.1%,6.55,B (3.11)
"Stallings, Dontarie M",WI21,CHEM 6B - General Chemistry II (H),84.9%,81.6%,6.92,B (3.04)
"Paesani, Francesco",WI21,CHEM 6BH - Honors General Chemistry II (A),82.7%,90.4%,7.27,B+ (3.42)
"Ghosh, Partho",WI21,CHEM 6C - General Chemistry  III (A),82.0%,90.1%,7.07,B- (2.70)
"Leigh, Brian",WI21,CHEM 7L - General Chemistry Laboratory (A),91.3%,97.6%,8.12,B (3.26)
"Leigh, Brian",WI21,CHEM 7L - General Chemistry Laboratory (B),86.7%,96.9%,7.96,B (3.29)
"Brydges, Stacey",WI21,CHEM 87 - Freshman Seminar (A),100.0%,100.0%,0.50,N/A
"Pomeroy, Robert S.",FA20,CHEM 100A - Analytical Chemistry Lab (A),79.7%,89.9%,9.22,B (3.30)
"Young, Mark",FA20,CHEM 105A - Physical Chemistry Laboratory (A),71.4%,78.6%,13.50,B (3.23)
"Young, Mark",FA20,CHEM 105A - Physical Chemistry Laboratory (B),100.0%,100.0%,11.83,B- (2.83)
"Stallings, Dontarie M",FA20,CHEM 108 - Protein Biochemistry Lab (A),66.7%,68.3%,12.67,B+ (3.44)
"Stallings, Dontarie M",FA20,CHEM 108 - Protein Biochemistry Lab (B),61.5%,69.2%,15.78,B (3.29)
"Mrse, Anthony Adrian",FA20,CHEM 11 - The Periodic Table (A),94.3%,98.1%,5.39,B+ (3.55)
"Herzik, Mark Anthony",FA20,CHEM 114A - Biochemical Structure&Function (A),88.4%,78.9%,9.22,B- (2.90)
"Mishanina, Tatiana V",FA20,CHEM 114B - Biochem Energetics&Metabolism (A),88.4%,90.7%,8.36,B+ (3.45)
"Godula, Kamil",FA20,CHEM 116 - Chemical Biology (A),100.0%,100.0%,6.32,B+ (3.56)
"Rinehart, Jeffrey Dennis",FA20,CHEM 120A - Inorganic Chemistry I (A),83.0%,88.8%,7.29,B (3.20)
"Yuen Zhou, Joel",FA20,CHEM 126A - Phys Biochem: Thermodynamics (A),71.1%,82.8%,8.59,B (3.11)
